"","interv_cvg_rate","interv_target","contact_rate_mean","interv_start","interv_efficacy","imm_hum_baseline","mn","md","qlo","qhi","n","Vaccination scenario","Vaccination lag","Vaccine efficacy","Final Cum. Incidence","outcome"
"152",300,"priority_age_frailty",1,-28,0.6,1e-05,-0.000516887297466784,0.0690476190476191,-0.478846153846154,0.419999999999999,152,"Random",-4,0.6,0.5,"Hospitalized"
"153",300,"priority_age_frailty",1,-28,0.9,1e-05,0.142541112715606,0.237797619047619,-0.696666666666667,0.7625,152,"Random",-4,0.9,0.5,"Hospitalized"
"154",300,"priority_age_frailty",1,-14,0.3,1e-05,0.0152697096308916,0.0238399318859089,-0.583333333333333,0.628205128205128,176,"Random",-2,0.3,0.5,"Hospitalized"
"155",300,"priority_age_frailty",1,-14,0.6,1e-05,0.108765844150645,0.0992957746478873,-0.511363636363636,1,176,"Random",-2,0.6,0.5,"Hospitalized"
"156",300,"priority_age_frailty",1,-14,0.9,1e-05,0.174485553645169,0.211017740429505,-0.452380952380952,1,176,"Random",-2,0.9,0.5,"Hospitalized"
"157",300,"priority_age_frailty",1,0,0.3,1e-05,-0.0249450090574609,0.00609756097560976,-0.574107142857143,0.485543766578248,160,"Random",0,0.3,0.5,"Hospitalized"
"158",300,"priority_age_frailty",1,0,0.6,1e-05,0.00090480709471944,0,-0.571428571428571,0.502777777777777,160,"Random",0,0.6,0.5,"Hospitalized"
"159",300,"priority_age_frailty",1,0,0.9,1e-05,0.0483464505637257,0.113026819923372,-0.575357142857143,0.501923076923076,160,"Random",0,0.9,0.5,"Hospitalized"
"160",300,"priority_age_frailty",1,14,0.3,1e-05,-0.0266581840685027,0.00833333333333333,-0.582818181818182,0.401428571428571,160,"Random",2,0.3,0.5,"Hospitalized"
"161",300,"priority_age_frailty",1,14,0.6,1e-05,-0.0358567303485228,0,-0.572139303482587,0.381135531135531,160,"Random",2,0.6,0.5,"Hospitalized"
"162",300,"priority_age_frailty",1,14,0.9,1e-05,0.0241720333081514,0.0753787878787879,-0.5825,0.446360153256704,160,"Random",2,0.9,0.5,"Hospitalized"
"163",300,"priority_age_frailty",1,28,0.3,1e-05,-0.00820420383167422,0,-0.167028985507246,0.205197132616487,160,"Random",4,0.3,0.5,"Hospitalized"
"164",300,"priority_age_frailty",1,28,0.6,1e-05,-0.0055041394375685,0,-0.270541958041958,0.166666666666667,160,"Random",4,0.6,0.5,"Hospitalized"
"165",300,"priority_age_frailty",1,28,0.9,1e-05,-0.00416146670776641,0,-0.250462962962963,0.222875816993464,160,"Random",4,0.9,0.5,"Hospitalized"
"166",300,"priority_age_frailty",1.8,-28,0.3,1e-05,-0.0709291388029782,0,-0.797857142857143,0.400296296296296,184,"Random",-4,0.3,0.7,"Hospitalized"
"167",300,"priority_age_frailty",1.8,-28,0.6,1e-05,0.00803925386847433,0.0194247996228194,-0.547222222222222,0.434375,184,"Random",-4,0.6,0.7,"Hospitalized"
"168",300,"priority_age_frailty",1.8,-28,0.9,1e-05,0.12429618991369,0.146801346801347,-0.456666666666667,0.732954545454545,184,"Random",-4,0.9,0.7,"Hospitalized"
"169",300,"priority_age_frailty",1.8,-14,0.3,1e-05,-0.0984438933460224,0,-0.697619047619048,0.4325,188,"Random",-2,0.3,0.7,"Hospitalized"
"170",300,"priority_age_frailty",1.8,-14,0.6,1e-05,-0.0857002422809531,0,-0.652083333333333,0.431666666666667,188,"Random",-2,0.6,0.7,"Hospitalized"
"171",300,"priority_age_frailty",1.8,-14,0.9,1e-05,0.0467263284307297,0.102207977207977,-0.526315789473684,0.486538461538462,188,"Random",-2,0.9,0.7,"Hospitalized"
"172",300,"priority_age_frailty",1.8,0,0.3,1e-05,-0.105949427141974,-0.0434782608695652,-0.93,0.328666666666667,188,"Random",0,0.3,0.7,"Hospitalized"
"173",300,"priority_age_frailty",1.8,0,0.6,1e-05,-0.0891819527869028,-0.0171714244312418,-0.75,0.32719298245614,188,"Random",0,0.6,0.7,"Hospitalized"
"174",300,"priority_age_frailty",1.8,0,0.9,1e-05,-0.0652477127440526,0.0390253188654102,-0.7375,0.322455197132617,188,"Random",0,0.9,0.7,"Hospitalized"
"175",300,"priority_age_frailty",1.8,14,0.3,1e-05,-0.0542304734205771,-0.00531914893617021,-0.565,0.257065217391304,188,"Random",2,0.3,0.7,"Hospitalized"
"176",300,"priority_age_frailty",1.8,14,0.6,1e-05,-0.0548292546273874,0,-0.513,0.324358974358975,188,"Random",2,0.6,0.7,"Hospitalized"
"177",300,"priority_age_frailty",1.8,14,0.9,1e-05,-0.0269534775771329,0,-0.485416666666667,0.39125,188,"Random",2,0.9,0.7,"Hospitalized"
