"age","prop"
1,0.0109671183078674
2,0.0111236341242232
3,0.0113678459884367
4,0.011280543196399
5,0.0111527350549024
6,0.0111814427297617
7,0.0113218350574979
8,0.0111177352869234
9,0.0112848690104189
10,0.0114197557566753
11,0.0118657078565434
12,0.011882617856803
13,0.0122990757701719
14,0.0126026692632038
15,0.0132794625294057
16,0.0135940671853973
17,0.0134808095092403
18,0.013679403698335
19,0.0138913685853094
20,0.0139833904471869
21,0.0139609748654475
22,0.0133223274137846
23,0.012895251593276
24,0.0129204199657553
25,0.0130478348514319
26,0.012968790431614
27,0.01274345484676
28,0.0128130611268981
29,0.0125377820529055
30,0.0127898590335188
31,0.0125881187978641
32,0.0124532320516077
33,0.0124382883304481
34,0.0126801406597417
35,0.0129613185710342
36,0.0132346313659269
37,0.0130576662469316
38,0.0133852483449829
39,0.0137694592811126
40,0.0146424872014893
41,0.0144753534779938
42,0.0145001285946531
43,0.0144136123142554
44,0.0146483860387892
45,0.0156767500080617
46,0.0167141588611941
47,0.0170704486341046
48,0.0170507858431051
49,0.0165336544398189
50,0.0167672483968926
51,0.0162351732724468
52,0.0157086037294809
53,0.0154093360504689
54,0.0150133274397394
55,0.0144910837107934
56,0.0143090062661382
57,0.013603898580897
58,0.0130722167122712
59,0.0125279506574058
60,0.0123277834450311
61,0.0120206506496193
62,0.011844865298084
63,0.0119864373932802
64,0.0120403134406188
65,0.00966111572968224
66,0.00912156874465664
67,0.00897370455634058
68,0.00860640362047038
69,0.00795595849420773
70,0.00757017453479803
71,0.00718792987776823
72,0.00698815592121356
73,0.00663579870650296
74,0.00628540777089231
75,0.00615209404791586
76,0.00582333218240463
77,0.00549299729361345
78,0.00538721147803627
79,0.00515597705588244
80,0.00503328124004571
81,0.00461328402429692
82,0.00419485983182808
83,0.00394632215359471
84,0.00356722354312483
85,0.00330334888791187
86,0.00294155353352152
87,0.00262183655187005
88,0.00223919863902026
89,0.00193285235524843
90,0.00162768583893657
91,0.00126589048454623
92,0.000864769548156928
93,0.000676793266201943
94,0.000539940240845594
95,0.000416851169188878
96,0.000315784423451575
97,0.000220616515014114
98,0.000152976513975919
99,9.94937224573455e-05
