school.size,prop
25,0.0306458247634718
75,0.0444261620732209
125,0.0660222130810366
175,0.0995475113122172
225,0.100987248046072
275,0.0974907445495681
325,0.095433977786919
375,0.0728095433977787
425,0.0662278897573015
475,0.0510078157136981
525,0.0446318387494858
575,0.041958041958042
625,0.0277663512957631
675,0.0234471410941999
725,0.0234471410941999
775,0.018510900863842
825,0.0113122171945701
875,0.0125462772521596
925,0.00904977375565611
975,0.00781571369806664
1025,0.00658165364047717
1075,0.00740436034553682
1125,0.00596462361168244
1175,0.00514191690662279
1225,0.00411353352529823
1275,0.0034965034965035
1325,0.00370218017276841
1375,0.00329082682023859
1425,0.00246812011517894
1475,0.00246812011517894
1525,0.00164541341011929
1575,0.00143973673385438
1625,0.000617030028794735
1675,0.00102838338132456
1725,0.00102838338132456
1775,0.000411353352529823
1825,0.00123406005758947
1875,0.000822706705059646
1925,0.000205676676264912
1975,0.000617030028794735
2025,0.00102838338132456
2075,0.000205676676264912
