size,Cumulative percentage,Total,year
1_4,55.1,610178,2012
5_9,74.9,219771,2012
10_19,87.4,138031,2012
20_49,95.6,91026,2012
50_99,98.2,28797,2012
100_199,99.4,12619,2012
200_499,99.9,5550,2012
500+,100,1568,2012
1_4,54.1,632460,2015
5_9,73.5,226412,2015
10_19,86.2,147823,2015
20_49,95.1,103607,2015
50_99,97.9,33328,2015
100_199,99.1,14284,2015
200_499,99.7,7131,2015
500+,100,2933,2015
