school.size,prop
50,0.0750719868366927
150,0.165569724393254
250,0.19847799259564
350,0.168243521184698
450,0.117235705471
550,0.0865898807075278
650,0.051213492389963
750,0.041958041958042
850,0.0238584944467297
950,0.0168654874537227
1050,0.013986013986014
1150,0.0111065405183052
1250,0.00761003702180173
1350,0.00699300699300699
1450,0.00493624023035788
1550,0.00308515014397367
1650,0.00164541341011929
1750,0.00143973673385438
1850,0.00205676676264912
1950,0.000822706705059646
2050,0.00123406005758947
